# schema_id=betelgeuze.reference_direct_ewald/1.0.0
# values are IEEE-754 binary64 bit patterns from the frozen four-charge fixture
value_id	bits_hex
real_space_kcal_per_mol	bfbe3560505c8b5a
reciprocal_space_kcal_per_mol	404421fcc22858dd
self_kcal_per_mol	c04ff151251cf865
pair_correction_kcal_per_mol	4031acb81f3a00d4
total_kcal_per_mol	c01840981bfe6b20
force_0_x	bf94b039bd76cc80
force_0_y	3fd6aa0d9171ed74
force_0_z	3fe65887b557df96
force_1_x	bf96a2ad5015fa00
force_1_y	bfcb27e290ac16a4
force_1_z	3fc7b0e06de81810
force_2_x	3fd04eaa3c83bf15
force_2_y	3fc860259fdc0bfe
force_2_z	bfd48c1a95311f40
force_3_x	bfcb32f79755e5a0
force_3_y	bfd5462f1909e822
force_3_z	bfe1feb2863955f6
