dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,source_row_fill_csv,dropzone_class_folder,import_kind,source_path,drop_filename,proposed_value,evidence_ref,operator_clearance,destination_path,source_sha256,import_status,blocker,per_row_import_csv,per_row_import_md,next_action
priority_006_REQUIRED_MONOMER_006,151,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/target_identity,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
priority_006_REQUIRED_MONOMER_006,152,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,target_identity,target_id,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/target_identity,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
priority_006_REQUIRED_MONOMER_006,153,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/files/core,file,,,,,,,,awaiting_import_file,source_path_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,enter source_path for the cleared local historical PDB in the import CSV
priority_006_REQUIRED_MONOMER_006,154,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/files/core,file,,,,,,,,awaiting_import_file,source_path_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,enter source_path for the cleared local historical PDB in the import CSV
priority_006_REQUIRED_MONOMER_006,155,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/provenance,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
priority_006_REQUIRED_MONOMER_006,156,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/provenance,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
priority_006_REQUIRED_MONOMER_006,157,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/provenance,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
priority_006_REQUIRED_MONOMER_006,158,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/provenance,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
priority_006_REQUIRED_MONOMER_006,159,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/provenance,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
priority_006_REQUIRED_MONOMER_006,160,6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/evidence_dropzone/provenance,value,,,,,,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/FIELD_VALUE_LEDGER.csv,,awaiting_import_value,proposed_value_required,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/EVIDENCE_IMPORT.md,"enter proposed_value, evidence_ref, and operator_clearance in the import CSV"
