target,ligand_id,reference_binding_kcal_mol,is_binder,source
EGFR_KINASE,erlotinib,-9.2,1,literature_proxy_v2
EGFR_KINASE,nilotinib,-8.3,1,literature_proxy_v2
EGFR_KINASE,imatinib,-7.4,1,literature_proxy_v2
EGFR_KINASE,ibuprofen,-2.1,0,literature_proxy_v2
EGFR_KINASE,aspirin,-1.1,0,literature_proxy_v2
EGFR_KINASE,caffeine,-0.6,0,literature_proxy_v2
GLUT1_TRANSPORT_BLIND,glut1_placeholder_binder_01,-8.1,1,template_placeholder_needs_curation
GLUT1_TRANSPORT_BLIND,glut1_placeholder_binder_02,-7.7,1,template_placeholder_needs_curation
GLUT1_TRANSPORT_BLIND,glut1_placeholder_binder_03,-7.2,1,template_placeholder_needs_curation
GLUT1_TRANSPORT_BLIND,glut1_placeholder_nonbinder_01,-1.1,0,template_placeholder_needs_curation
GLUT1_TRANSPORT_BLIND,glut1_placeholder_nonbinder_02,-0.8,0,template_placeholder_needs_curation
GLUT1_TRANSPORT_BLIND,glut1_placeholder_nonbinder_03,-0.4,0,template_placeholder_needs_curation
